"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-30","5.7",,"1.3","0.0","0.0","19.6","26.7","15.6","  350","  360","9.4","11.6","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-08-31","6.0",,"0.0","0.0","0.0","23.3","30.0","18.3","  330","  290","9.4","12.5",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-01","4.8",,"0.0","0.0","0.0","19.1","23.3","13.3","  300","  330","7.6","11.6",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-02","4.4",,"13.7","0.0","0.0","17.1","20.0","12.2","   90","  100","8.9","11.6","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-03","6.3",,"11.7","0.0","0.0","17.3","22.8","15.0","   90","  100","9.8","12.1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-04","6.1",,"0.0","0.0","0.0","21.1","26.1","17.2","  180","  190","10.7","12.5",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-05","6.1",,"0.0","0.0","0.0","23.2","27.2","20.0","  180","  190","12.5","15.7",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-06","3.6",,"12.7","0.0","0.0","21.2","23.3","16.7","  360","  350","9.8","12.1","    1",,"    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-07","5.8",,"0.0","0.0","0.0","18.8","23.3","16.1","  240","  240","10.3","12.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-08","5.2",,"0.0","0.0","0.0","19.7","23.9","15.0","  270","  270","8.9","10.3",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-09","5.2",,"0.0","0.0","0.0","18.1","22.2","13.3","  360","  330","9.4","11.2",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-10","4.5",,"0.0","0.0","0.0","18.4","23.9","13.9","  360","  360","9.8","12.5",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-11","2.9",,"0.0","0.0","0.0","19.6","26.7","13.3","   20","  360","5.4","7.2",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-12","2.8",,"0.0","0.0","0.0","20.7","26.7","15.0","  190","  220","5.8","6.7",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-13","3.7",,"10.2","0.0","0.0","21.1","26.7","16.1","  180","  180","7.2","9.4","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-14","3.6",,"0.0","0.0","0.0","22.1","26.1","19.4","  190","  180","8.9","10.7","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-15","2.8",,"0.0","0.0","0.0","22.9","27.2","18.9","  190","  190","6.3","7.6","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-16","2.4",,"0.0","0.0","0.0","22.7","26.1","20.0","  160","  160","6.3","7.6","    1","    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-17","2.2",,"0.0","0.0","0.0","21.8","25.6","19.4","  140","  150","5.8","7.2","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-18","4.3",,"0.0","0.0","0.0","21.6","25.0","19.4","   40","   60","6.7","9.4","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-19","8.4",,"6.6","0.0","0.0","22.2","25.0","20.6","   40","   30","13.0","17.4","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-20","7.6",,"0.0","0.0","0.0","23.8","27.2","21.7","   10","  360","12.5","14.8",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-21","6.1",,"0.0","0.0","0.0","24.6","27.2","21.7","  350","  360","9.8","12.5",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-22","8.1",,"0.0","0.0","0.0","23.7","28.3","19.4","  350","  350","11.2","14.3",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-23","5.1",,"0.0","0.0","0.0","25.1","31.1","20.0","  350","  340","8.9","11.2",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2017-09-24","2.5",,"0.0","0.0","0.0","25.1","33.3","18.3","  180","   50","5.8","7.6",,,,,,,
